CompteurTemps	Temps	Cx0	Cy0	
1	0	-83.4868	-0.464197	
2	0.05	-0.195278	0.00616895	
3	0.1	-0.154787	0.00881893	
4	0.15	-0.135199	0.0089846	
5	0.2	-0.130612	0.00749834	
6	0.25	-0.120538	0.00609817	
7	0.3	-0.115554	0.00680769	
8	0.35	-0.110817	0.0063436	
9	0.4	-0.107013	0.00577569	
10	0.45	-0.103391	0.00536536	
11	0.5	-0.101957	0.00534625	
12	0.55	-0.0985566	0.00390064	
13	0.6	-0.0966619	0.00298136	
14	0.65	-0.0950079	0.00197818	
15	0.7	-0.0937698	0.000928433	
16	0.75	-0.0927381	3.03638e-06	
17	0.8	-0.0912878	-0.00158589	
18	0.85	-0.0902286	-0.00297501	
19	0.9	-0.0892645	-0.00446551	
20	0.95	-0.0884502	-0.0061707	
21	1	-0.0885295	-0.00794497	
22	1.05	-0.0868765	-0.00966161	
23	1.1	-0.0861751	-0.0115304	
24	1.15	-0.0855223	-0.0134921	
25	1.2	-0.0849107	-0.0156223	
26	1.25	-0.0844717	-0.0178987	
27	1.3	-0.0837909	-0.0200253	
28	1.35	-0.0832742	-0.0223508	
29	1.4	-0.0827856	-0.0247651	
30	1.45	-0.0823311	-0.0272854	
31	1.5	-0.082242	-0.0299432	
32	1.55	-0.0814863	-0.0325026	
33	1.6	-0.0810863	-0.0351936	
34	1.65	-0.080712	-0.0379278	
35	1.7	-0.0803695	-0.0406891	
36	1.75	-0.0797942	-0.0432811	
37	1.8	-0.079709	-0.0462449	
38	1.85	-0.0794144	-0.0490204	
39	1.9	-0.0791388	-0.0517672	
40	1.95	-0.0788945	-0.0544749	
41	2	-0.0784411	-0.0570082	
42	2.05	-0.0784122	-0.0596959	
43	2.1	-0.0782026	-0.0622115	
44	2.15	-0.0780089	-0.0646239	
45	2.2	-0.0778384	-0.0669228	
46	2.25	-0.0784242	-0.0693287	
47	2.3	-0.0775141	-0.0711386	
48	2.35	-0.0773742	-0.0730513	
49	2.4	-0.0772451	-0.0748111	
50	2.45	-0.0771357	-0.0764085	
51	2.5	-0.0774081	-0.0778302	
52	2.55	-0.0769243	-0.0791118	
53	2.6	-0.0768365	-0.080219	
54	2.65	-0.0767544	-0.0811595	
55	2.7	-0.0766871	-0.0819348	
56	2.75	-0.0765398	-0.0824768	
57	2.8	-0.0765437	-0.0829993	
58	2.85	-0.0764901	-0.0833355	
59	2.9	-0.0764356	-0.0835431	
60	2.95	-0.0763914	-0.083634	
61	3	-0.075996	-0.0837757	
62	3.05	-0.0762805	-0.0835514	
63	3.1	-0.0762375	-0.083385	
64	3.15	-0.0761922	-0.0831604	
65	3.2	-0.0761551	-0.0828867	
66	3.25	-0.0766635	-0.0827391	
67	3.3	-0.0760639	-0.0822669	
68	3.35	-0.0760179	-0.0819215	
69	3.4	-0.0759745	-0.0815706	
