Index	edge	1	2	3	4	5	6	7	8	9	finesse_moy	finesse_max	Area	Reward
0	1.976e-02	1.296e-02	7.089e-02	4.879e-02	9.726e-02	-4.462e-02	-5.384e-02	-1.104e-02	7.036e-01	-4.577e-02	1.673e-02	1.675e-02	1.227e-03	-2.884e-02
0	1.378e-02	1.901e-02	9.143e-02	9.182e-02	6.914e-02	-6.570e-02	-3.373e-02	-5.965e-03	5.327e-01	-2.370e-02	2.416e-02	2.418e-02	1.375e-03	8.196e-03
0	2.121e-02	2.118e-02	9.776e-02	8.885e-02	8.008e-02	-4.319e-02	-8.072e-02	-5.613e-02	5.279e-01	-4.135e-02	1.786e-02	1.786e-02	1.824e-03	8.763e-03
0	1.932e-02	5.001e-03	8.624e-02	8.706e-02	6.318e-02	-3.605e-02	-6.559e-02	-2.450e-02	7.475e-01	-1.603e-02	2.237e-02	2.238e-02	1.430e-03	1.731e-02
0	1.705e-02	3.415e-02	8.694e-02	8.784e-02	8.931e-02	-6.729e-02	-3.910e-02	-1.963e-02	7.613e-01	-2.085e-02	2.097e-02	2.101e-02	1.540e-03	2.097e-02
0	2.149e-02	2.471e-02	7.544e-02	8.794e-02	7.400e-02	-6.139e-02	-7.963e-02	-6.446e-02	7.418e-01	6.995e-03	1.822e-02	1.838e-02	1.825e-03	9.067e-03
0	3.136e-02	2.513e-02	3.889e-02	4.229e-02	1.273e-01	-7.488e-02	-7.286e-02	-3.301e-02	7.463e-01	-1.918e-02	4.106e-03	4.672e-03	1.491e-03	4.105e-03
0	2.033e-02	1.850e-02	8.471e-02	8.945e-02	6.972e-02	-3.607e-02	-4.630e-02	-9.233e-03	7.623e-01	3.000e-01	4.075e-02	4.358e-02	1.440e-03	3.763e-02
1	5.271e-03	2.583e-02	9.201e-02	8.775e-02	8.219e-02	-4.805e-02	-4.959e-02	-3.092e-03	7.684e-01	5.588e-02	2.947e-02	2.948e-02	1.432e-03	2.478e-02
1	4.172e-02	2.674e-02	8.686e-02	9.566e-02	6.763e-02	-4.535e-02	-4.620e-03	-2.297e-02	7.536e-01	9.503e-02	3.230e-02	3.231e-02	1.365e-03	1.428e-02
1	2.095e-02	1.464e-02	9.487e-02	9.143e-02	1.233e-01	-7.020e-02	-3.873e-02	-5.757e-02	7.456e-01	1.114e-02	1.382e-02	1.384e-02	1.793e-03	1.086e-02
1	2.440e-02	1.167e-02	9.692e-02	7.217e-02	5.396e-02	-5.963e-02	-6.778e-02	-1.272e-02	7.802e-01	9.843e-02	2.751e-02	2.752e-02	1.510e-03	2.751e-02
1	1.617e-02	3.619e-02	8.868e-02	9.085e-02	7.200e-02	-6.389e-02	-7.065e-02	-2.188e-02	4.624e-01	7.034e-02	2.453e-02	2.454e-02	1.700e-03	2.453e-02
1	1.364e-02	1.874e-02	9.880e-02	7.355e-02	4.461e-02	-6.328e-02	-3.554e-02	-1.706e-02	5.663e-01	1.421e-01	3.007e-02	3.047e-02	1.386e-03	1.619e-02
1	1.929e-02	0.000e+00	6.246e-02	8.161e-02	6.778e-02	-6.492e-02	-4.557e-02	-4.302e-02	6.257e-01	1.903e-01	3.168e-02	3.233e-02	1.436e-03	2.785e-02
1	5.502e-03	1.782e-02	6.320e-02	8.803e-02	5.963e-02	-6.319e-02	-6.956e-02	-1.020e-03	7.426e-01	3.000e-01	4.036e-02	4.282e-02	1.444e-03	3.810e-02
2	5.000e-03	5.648e-03	7.644e-02	7.402e-02	6.842e-02	-5.956e-02	-7.015e-02	-5.009e-03	7.707e-01	-4.172e-02	2.113e-02	2.119e-02	1.320e-03	-5.948e-03
2	5.000e-03	2.599e-02	6.355e-02	6.034e-02	3.703e-02	-6.632e-02	-3.605e-02	-1.726e-02	7.537e-01	1.584e-01	3.621e-02	3.622e-02	1.204e-03	-1.411e-02
2	5.000e-03	1.773e-02	4.501e-02	6.101e-02	1.172e-01	-7.265e-02	-6.690e-02	0.000e+00	7.873e-01	2.146e-02	1.386e-02	1.387e-02	1.307e-03	-1.584e-02
2	9.478e-03	3.364e-03	8.709e-02	9.222e-02	7.289e-02	-6.226e-02	-5.205e-02	-1.556e-02	7.661e-01	1.259e-01	2.815e-02	2.816e-02	1.472e-03	2.815e-02
2	2.347e-02	0.000e+00	5.795e-02	8.808e-02	1.224e-01	-6.931e-02	-8.355e-02	-9.617e-04	6.872e-01	6.545e-02	1.594e-02	1.661e-02	1.532e-03	1.594e-02
2	1.026e-02	2.325e-02	6.395e-02	8.485e-02	1.006e-01	-5.454e-02	-5.594e-02	0.000e+00	7.583e-01	3.000e-01	4.435e-02	4.659e-02	1.459e-03	4.434e-02
2	5.000e-03	1.925e-02	9.062e-02	2.002e-02	6.758e-02	-3.824e-02	-7.134e-02	-1.309e-02	5.346e-01	3.000e-01	3.986e-02	4.276e-02	1.304e-03	9.590e-03
2	7.844e-03	1.652e-02	7.547e-02	2.448e-02	3.567e-02	-7.268e-02	-5.286e-02	0.000e+00	5.542e-01	3.000e-01	3.898e-02	4.167e-02	1.141e-03	-2.385e-02
3	5.000e-03	1.618e-02	5.432e-02	4.941e-02	9.082e-02	-5.706e-02	-5.523e-02	-5.472e-03	7.499e-01	-1.174e-02	2.132e-02	2.133e-02	1.154e-03	-3.899e-02
3	5.000e-03	4.296e-03	6.548e-02	2.264e-02	1.068e-01	-5.848e-02	-7.983e-02	-7.354e-03	7.796e-01	2.010e-01	3.693e-02	3.699e-02	1.308e-03	7.510e-03
3	2.934e-02	6.215e-03	8.947e-02	6.727e-02	1.358e-01	-4.855e-02	-6.204e-02	-7.239e-03	8.000e-01	1.824e-01	3.287e-02	3.428e-02	1.569e-03	3.286e-02
3	5.000e-03	9.915e-03	7.265e-02	9.104e-02	7.728e-02	-5.970e-02	-6.384e-02	-1.342e-02	7.245e-01	2.079e-01	3.410e-02	3.535e-02	1.492e-03	3.410e-02
3	1.333e-02	0.000e+00	7.565e-02	7.918e-02	1.424e-01	-6.642e-02	-4.896e-02	-2.122e-02	7.782e-01	1.468e-01	2.483e-02	2.682e-02	1.554e-03	2.483e-02
3	5.000e-03	2.155e-02	9.166e-02	4.249e-02	4.401e-02	-3.970e-02	-7.546e-02	0.000e+00	6.555e-01	2.303e-01	3.596e-02	3.780e-02	1.304e-03	5.735e-03
3	5.000e-03	0.000e+00	6.465e-02	8.999e-02	1.147e-01	-7.425e-02	-6.600e-02	-4.154e-03	7.422e-01	2.628e-01	3.708e-02	3.908e-02	1.530e-03	3.708e-02
3	5.000e-03	4.273e-02	6.770e-02	8.876e-02	3.325e-02	-5.914e-02	-4.968e-02	-5.933e-03	6.732e-01	2.818e-01	4.004e-02	4.248e-02	1.398e-03	2.858e-02
4	2.134e-02	2.642e-03	7.842e-02	1.714e-02	8.790e-02	-5.530e-02	-7.191e-02	-1.823e-02	7.447e-01	1.159e-01	3.218e-02	3.222e-02	1.302e-03	1.574e-03
4	2.075e-02	0.000e+00	7.415e-02	6.628e-02	1.292e-01	-6.368e-02	-5.338e-02	-9.273e-05	7.932e-01	2.158e-01	3.615e-02	3.767e-02	1.428e-03	3.077e-02
