Index	Heure start	Heure end	Durée
5	15:11:43	15:14:33	0:2:49
6	15:11:43	15:14:35	0:2:51
7	15:11:43	15:14:35	0:2:52
3	15:11:43	15:14:36	0:2:52
4	15:11:43	15:14:41	0:2:58
0	15:11:43	15:14:45	0:3:1
1	15:11:43	15:15:17	0:3:34
2	15:11:43	15:16:12	0:4:28
11	15:16:17	15:19:24	0:3:6
14	15:16:17	15:19:28	0:3:10
13	15:16:17	15:19:28	0:3:11
12	15:16:17	15:19:29	0:3:12
15	15:16:17	15:19:31	0:3:13
9	15:16:17	15:19:52	0:3:35
10	15:16:17	15:19:59	0:3:42
8	15:16:17	15:20:26	0:4:8
20	15:20:28	15:23:14	0:2:46
16	15:20:28	15:23:24	0:2:56
18	15:20:28	15:23:28	0:3:0
19	15:20:28	15:23:29	0:3:1
17	15:20:28	15:24:01	0:3:33
22	15:20:28	15:24:37	0:4:9
21	15:20:28	15:24:46	0:4:17
23	15:20:28	15:24:49	0:4:21
30	15:24:51	15:27:40	0:2:48
26	15:24:51	15:27:56	0:3:5
27	15:24:51	15:28:44	0:3:53
28	15:24:51	15:28:45	0:3:54
29	15:24:51	15:28:49	0:3:58
25	15:24:51	15:28:53	0:4:2
24	15:24:51	15:28:58	0:4:7
31	15:24:51	15:29:06	0:4:15
39	15:29:07	15:32:10	0:3:2
32	15:29:07	15:33:13	0:4:6
33	15:29:07	15:33:22	0:4:14
35	15:29:07	15:33:23	0:4:15
38	15:29:07	15:33:23	0:4:15
34	15:29:07	15:33:30	0:4:22
37	15:29:07	15:33:32	0:4:24
36	15:29:07	15:33:37	0:4:29
47	15:33:38	15:36:45	0:3:6
45	15:33:38	15:36:47	0:3:8
41	15:33:38	15:37:38	0:4:0
42	15:33:38	15:37:57	0:4:18
46	15:33:38	15:37:57	0:4:18
40	15:33:38	15:37:58	0:4:19
43	15:33:38	15:38:00	0:4:21
44	15:33:38	15:38:09	0:4:30
55	15:38:10	15:42:30	0:4:20
54	15:38:10	15:42:39	0:4:28
51	15:38:10	15:42:41	0:4:30
53	15:38:10	15:42:41	0:4:30
49	15:38:10	15:42:41	0:4:31
50	15:38:10	15:42:42	0:4:31
52	15:38:10	15:42:46	0:4:36
48	15:38:10	15:42:52	0:4:41
56	15:42:53	15:47:11	0:4:18
60	15:42:53	15:47:19	0:4:25
61	15:42:53	15:47:19	0:4:26
59	15:42:53	15:47:21	0:4:28
62	15:42:53	15:47:23	0:4:30
63	15:42:53	15:47:24	0:4:31
58	15:42:53	15:47:27	0:4:34
57	15:42:53	15:47:30	0:4:37
65	15:47:31	15:51:56	0:4:25
68	15:47:31	15:51:59	0:4:28
71	15:47:31	15:52:01	0:4:30
64	15:47:31	15:52:02	0:4:30
67	15:47:31	15:52:02	0:4:31
66	15:47:31	15:52:04	0:4:32
70	15:47:31	15:52:08	0:4:37
69	15:47:31	15:52:13	0:4:41
72	15:52:13	15:56:33	0:4:20
78	15:52:13	15:56:37	0:4:24
73	15:52:13	15:56:41	0:4:27
79	15:52:13	15:56:44	0:4:30
75	15:52:13	15:56:44	0:4:30
76	15:52:13	15:56:44	0:4:31
77	15:52:13	15:56:51	0:4:38
74	15:52:13	15:56:57	0:4:44
84	15:56:58	16:01:22	0:4:24
82	15:56:58	16:01:28	0:4:30
85	15:56:58	16:01:28	0:4:30
86	15:56:58	16:01:28	0:4:30
83	15:56:58	16:01:30	0:4:32
80	15:56:58	16:01:30	0:4:32
81	15:56:58	16:01:39	0:4:41
87	15:56:58	16:01:39	0:4:41
92	16:01:41	16:06:02	0:4:21
88	16:01:41	16:06:06	0:4:25
90	16:01:41	16:06:09	0:4:27
93	16:01:41	16:06:09	0:4:28
91	16:01:41	16:06:12	0:4:31
95	16:01:41	16:06:13	0:4:32
94	16:01:41	16:06:15	0:4:34
89	16:01:41	16:06:19	0:4:37
97	16:06:19	16:10:45	0:4:26
96	16:06:19	16:10:50	0:4:30
100	16:06:19	16:10:50	0:4:31
99	16:06:19	16:10:53	0:4:34
102	16:06:19	16:10:55	0:4:36
101	16:06:19	16:10:57	0:4:37
98	16:06:19	16:11:00	0:4:41
103	16:06:19	16:11:01	0:4:42
107	16:11:01	16:15:32	0:4:30
111	16:11:01	16:15:33	0:4:31
109	16:11:01	16:15:33	0:4:31
