Index	Heure start
6	19:07:53
3	19:07:53
9	19:11:50
10	19:11:50
11	19:11:50
8	19:11:50
13	19:11:50
12	19:11:50
14	19:11:50
15	19:11:50
16	19:15:38
17	19:15:38
22	19:15:38
23	19:15:38
18	19:15:38
20	19:15:38
21	19:15:38
19	19:15:38
30	19:19:46
27	19:19:46
28	19:19:46
29	19:19:46
24	19:19:46
26	19:19:46
25	19:19:46
31	19:19:46
32	19:24:08
33	19:24:08
34	19:24:08
38	19:24:08
36	19:24:08
39	19:24:08
37	19:24:08
35	19:24:08
42	19:28:24
40	19:28:24
43	19:28:24
47	19:28:24
41	19:28:24
45	19:28:24
44	19:28:24
46	19:28:24
50	19:32:28
48	19:32:28
55	19:32:28
52	19:32:28
51	19:32:28
54	19:32:28
53	19:32:28
49	19:32:28
56	19:36:49
60	19:36:49
61	19:36:49
63	19:36:49
57	19:36:49
59	19:36:49
58	19:36:49
62	19:36:49
66	19:41:20
65	19:41:20
68	19:41:20
69	19:41:20
64	19:41:20
67	19:41:20
70	19:41:20
71	19:41:20
73	19:45:38
72	19:45:38
75	19:45:38
74	19:45:38
79	19:45:38
76	19:45:38
78	19:45:38
77	19:45:38
85	19:50:02
82	19:50:02
86	19:50:02
81	19:50:02
80	19:50:02
83	19:50:02
84	19:50:02
87	19:50:02
88	19:54:21
89	19:54:21
92	19:54:21
90	19:54:21
93	19:54:21
95	19:54:21
94	19:54:21
91	19:54:21
97	19:58:45
96	19:58:45
101	19:58:45
98	19:58:45
100	19:58:45
99	19:58:45
102	19:58:45
103	19:58:45
106	20:03:06
108	20:03:06
109	20:03:06
104	20:03:06
105	20:03:06
111	20:03:06
107	20:03:06
110	20:03:06
117	20:07:26
114	20:07:26
115	20:07:26
116	20:07:26
112	20:07:26
119	20:07:26
113	20:07:26
118	20:07:26
127	20:11:45
124	20:11:45
120	20:11:45
121	20:11:45
123	20:11:45
126	20:11:45
125	20:11:45
122	20:11:45
130	20:16:01
133	20:16:01
131	20:16:01
129	20:16:01
128	20:16:01
135	20:16:01
134	20:16:01
132	20:16:01
142	20:20:33
140	20:20:33
139	20:20:33
136	20:20:33
143	20:20:33
138	20:20:33
137	20:20:33
141	20:20:33
144	20:24:43
146	20:24:43
145	20:24:43
148	20:24:43
147	20:24:43
150	20:24:43
149	20:24:43
151	20:24:43
152	20:29:00
153	20:29:00
156	20:29:00
158	20:29:00
154	20:29:00
157	20:29:00
155	20:29:00
159	20:29:00
165	20:33:16
164	20:33:16
161	20:33:16
162	20:33:16
163	20:33:16
160	20:33:16
167	20:33:16
166	20:33:16
169	20:37:35
168	20:37:35
172	20:37:35
174	20:37:35
173	20:37:35
175	20:37:35
170	20:37:35
171	20:37:35
178	20:41:52
177	20:41:52
182	20:41:52
179	20:41:52
181	20:41:52
183	20:41:52
176	20:41:52
180	20:41:52
184	20:46:17
187	20:46:17
185	20:46:17
186	20:46:17
190	20:46:17
191	20:46:17
188	20:46:17
189	20:46:17
193	20:50:42
195	20:50:42
198	20:50:42
192	20:50:42
196	20:50:42
194	20:50:42
199	20:50:42
197	20:50:42
207	20:55:03
203	20:55:03
204	20:55:03
205	20:55:03
202	20:55:03
206	20:55:03
201	20:55:03
200	20:55:03
208	20:59:22
209	20:59:22
214	20:59:22
212	20:59:22
213	20:59:22
211	20:59:22
210	20:59:22
215	20:59:22
216	21:03:41
218	21:03:41
217	21:03:41
219	21:03:41
223	21:03:41
220	21:03:41
221	21:03:41
222	21:03:41
229	21:07:59
227	21:07:59
231	21:07:59
224	21:07:59
225	21:07:59
228	21:07:59
226	21:07:59
230	21:07:59
237	21:12:14
233	21:12:14
232	21:12:14
234	21:12:14
235	21:12:14
238	21:12:14
236	21:12:14
239	21:12:14
240	21:16:26
245	21:16:26
241	21:16:26
242	21:16:26
244	21:16:26
247	21:16:26
246	21:16:26
243	21:16:26
252	21:20:47
254	21:20:47
250	21:20:47
255	21:20:47
251	21:20:47
253	21:20:47
249	21:20:47
248	21:20:47
256	21:25:08
261	21:25:08
258	21:25:08
257	21:25:08
260	21:25:08
262	21:25:08
259	21:25:08
263	21:25:08
265	21:29:28
264	21:29:28
271	21:29:28
269	21:29:28
270	21:29:28
268	21:29:28
266	21:29:28
267	21:29:28
276	21:33:48
